Strategy 1,Strategy 2,winner,# cards played,wars
1,1,2,76,10
1,1,2,123,11
1,1,2,489,27
1,1,2,136,10
1,1,1,55,3
1,1,1,528,40
1,1,1,280,22
1,1,1,56,2
1,1,2,168,16
1,1,2,442,34
1,1,2,267,17
1,1,2,187,15
1,1,1,89,7
1,1,2,32,2
1,1,2,73,3
1,1,2,433,33
1,1,2,86,8
1,1,2,153,7
1,1,2,76,4
1,1,2,124,8
1,1,2,123,9
1,1,2,182,16
1,1,1,627,51
1,1,2,86,6
1,1,2,219,16
1,1,1,225,17
1,1,2,608,40
1,1,1,216,16
1,1,2,162,12
1,1,1,104,6
1,1,1,160,16
1,1,1,106,4
1,1,2,118,10
1,1,1,58,6
1,1,1,187,15
1,1,1,139,11
1,1,2,30,4
1,1,1,232,18
1,1,2,98,8
1,1,2,533,37
1,1,2,90,6
1,1,2,444,38
1,1,1,494,30
1,1,1,88,8
1,1,2,171,17
1,1,2,227,27
1,1,2,379,27
1,1,1,115,7
1,1,2,503,37
1,1,1,174,16
1,1,1,173,21
1,1,1,376,32
1,1,1,49,3
1,1,2,285,11
1,1,2,543,39
1,1,2,214,16
1,1,2,162,12
1,1,2,188,14
1,1,2,255,19
1,1,2,330,22
1,1,1,190,14
1,1,2,265,27
1,1,1,546,44
1,1,2,172,12
1,1,2,103,11
1,1,1,133,9
1,1,1,246,16
1,1,2,37,3
1,1,1,462,38
1,1,2,448,30
1,1,1,316,24
1,1,2,31,5
1,1,1,51,7
1,1,1,93,9
1,1,1,59,7
1,1,1,309,27
1,1,2,147,11
1,1,2,452,34
1,1,1,483,35
1,1,1,92,10
1,1,2,61,5
1,1,2,203,13
1,1,2,234,22
1,1,2,32,0
1,1,2,1158,84
1,1,1,713,67
1,1,1,305,23
1,1,1,233,17
1,1,2,284,14
1,1,2,53,3
1,1,1,168,22
1,1,2,36,4
1,1,2,150,12
2,0,1,95,9
2,0,1,2600,9
2,0,2,2600,6
2,0,2,2600,9
2,0,1,2600,11
2,0,1,679,23
2,0,1,478,6
2,0,1,2600,17
2,0,1,2600,12
2,0,1,2600,2
2,0,1,2600,32
2,0,1,2067,23
2,0,1,2600,2
2,0,1,2600,10
2,0,1,1180,38
2,0,1,2600,26
2,0,1,1041,14
2,0,1,752,12
2,0,1,1703,31
2,0,1,1133,19
2,0,1,2600,8
2,0,1,918,28
2,0,1,1337,21
2,0,1,2600,17
2,0,1,2600,13
2,0,1,894,17
2,0,1,900,20
2,0,1,2600,32
2,0,1,1508,20
2,0,1,632,24
2,0,1,2600,16
2,0,1,634,20
2,0,1,2600,13
2,0,1,1033,27
2,0,1,2164,34
2,0,1,1142,22
2,0,1,2233,45
2,0,1,873,22
2,0,1,77,3
2,0,1,65,5
2,0,1,2600,3
2,0,1,659,17
2,0,1,343,7
2,0,1,2600,7
2,0,1,2600,13
2,0,2,2600,3
2,0,1,276,11
2,0,1,2600,7
2,0,1,951,21
2,0,1,662,10
2,0,1,2600,14
2,0,1,2600,13
2,0,2,2600,2
2,0,1,221,10
2,0,1,2600,18
2,0,1,2600,25
2,0,1,2600,20
2,0,1,277,13
2,0,1,1367,9
2,0,1,716,16
2,0,1,2600,16
2,0,1,1083,24
2,0,1,637,15
2,0,1,147,6
2,0,1,2600,10
2,0,1,2600,9
2,0,1,2600,41
2,0,1,2600,12
2,0,1,2600,13
2,0,1,2600,20
2,0,2,2600,20
2,0,1,2600,14
2,0,1,2600,27
2,0,1,925,23
2,0,1,587,17
2,0,1,934,28
2,0,1,2600,8
2,0,1,1850,26
2,0,1,2600,6
2,0,1,2600,2
2,0,1,2600,5
2,0,1,783,12
2,0,1,1078,14
2,0,1,825,21
2,0,1,1010,12
2,0,1,2600,22
2,0,1,183,13
2,0,1,385,13
2,0,1,2600,20
2,0,1,2600,12
2,0,1,1540,16
2,0,1,926,14
2,0,1,270,8
2,0,1,2600,10
2,0,1,2600,13
2,0,1,2600,11
2,0,1,466,11
2,0,1,2600,20
2,0,1,2600,11
2,0,1,2600,11
2,1,1,275,17
2,1,1,291,21
2,1,1,145,11
2,1,1,241,17
2,1,1,417,27
2,1,1,164,10
2,1,2,145,11
2,1,1,207,13
2,1,2,179,15
2,1,1,68,6
2,1,1,81,7
2,1,1,602,44
2,1,1,66,6
2,1,1,222,20
2,1,2,136,8
2,1,1,488,44
2,1,1,305,25
2,1,1,108,6
2,1,1,65,3
2,1,1,224,14
2,1,1,81,5
2,1,1,232,16
2,1,2,336,26
2,1,1,222,20
2,1,1,91,5
2,1,1,593,51
2,1,1,131,13
2,1,1,136,12
2,1,1,211,15
2,1,1,114,8
2,1,1,252,26
